File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_rect.h,149,55,20,3,18,1,76,369,25,157
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_render.h,932,174,79,0,79,20,679,4181,45,293
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_revision.h,3,2,0,0,1,0,0,0,0,0
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_rwops.h,255,118,66,0,32,10,105,621,26,173
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_scancode.h,414,251,2,0,35,29,128,937,25,152
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_sensor.h,252,38,20,0,30,5,184,1041,26,157
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_shape.h,145,38,15,0,16,1,91,654,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_stdinc.h,608,436,143,3,54,26,118,741,25,159
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_surface.h,554,131,53,0,54,20,369,2296,25,157
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_system.h,280,65,27,0,52,6,163,950,25,157
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_syswm.h,325,217,93,0,30,28,78,648,25,158
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test.h,70,25,1,0,10,1,35,227,27,171
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_assert.h,106,19,7,0,17,1,70,398,32,183
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_common.h,189,84,60,0,24,1,81,435,28,177
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_compare.h,70,14,2,0,12,1,44,284,32,178
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_crc32.h,125,31,10,0,23,4,71,375,32,181
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_font.h,82,15,4,0,13,1,54,344,27,171
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_fuzzer.h,385,37,27,0,48,1,300,1749,32,182
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_harness.h,135,39,18,0,21,1,75,536,32,193
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_images.h,79,29,18,0,11,2,39,216,32,177
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_log.h,68,13,3,0,10,1,45,260,32,182
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_md5.h,130,22,11,0,21,5,87,534,51,321
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_memory.h,64,13,3,0,11,1,40,243,27,171
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_test_random.h,116,23,11,0,18,1,75,387,36,199
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_thread.h,344,92,27,0,35,4,217,1360,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_timer.h,116,24,9,0,18,1,74,434,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_touch.h,87,28,13,0,17,1,42,260,25,156
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_ttf.h,281,113,51,0,45,1,123,1048,27,196
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_types.h,30,1,0,0,3,0,26,152,26,152
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_version.h,163,36,10,0,18,4,109,638,25,156
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_video.h,1277,283,114,0,114,53,880,5181,25,155
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_vulkan.h,279,40,12,0,20,3,219,1382,25,159
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\TinySoundFont\tml.h,515,360,227,75,66,13,89,737,36,215
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\TinySoundFont\tsf.h,1664,1291,916,197,191,31,182,1527,43,288
